"rank","country","Documents","Citable documents","Citations","Self-Citations","Citations per Document","H index"
"222","Vatican City State","79","47","736","13","9.32","16"
"223","Svalbard and Jan Mayen","62","57","758","3","12.23","14"
"224","Saint Helena","60","57","591","14","9.85","13"
"225","Tuvalu","44","39","948","8","21.55","13"
"226","Nauru","34","30","456","9","13.41","11"
"227","British Indian Ocean Territory","34","30","523","0","15.38","11"
"228","Niue","27","23","697","3","25.81","9"
"229","United States Minor Outlying Islands","24","22","906","0","37.75","12"
"230","Norfolk Island","24","19","258","0","10.75","10"
"231","Wallis and Futuna","22","19","143","5","6.50","7"
"232","South Georgia and the South Sandwich Islands","22","19","94","0","4.27","5"
"233","Cocos (Keeling) Islands","14","14","247","0","17.64","6"
"234","Tokelau","10","9","607","1","60.70","4"
"235","Western Sahara","10","7","67","0","6.70","5"
"236","Sint Maarten","9","8","4","0","0.44","1"
"237","Christmas Island","7","7","73","0","10.43","4"
"238","Saint Pierre and Miquelon","7","6","20","0","2.86","3"
"239","Bouvet Island","7","6","46","0","6.57","3"
"240","French Southern Territories","6","6","172","0","28.67","5"
"241","Pitcairn","3","1","20","0","6.67","2"
"242","Heard Island and McDonald Islands","2","2","12","0","6.00","1"
